sport,outcome,dropped_season,coef,se,coef_base,se_base,delta,delta_over_se_base,n_obs,n_obs_base
nfl,home_margin,2018,0.6777986453837566,1.2348740827394857,1.7063810689333614,1.1412428667609011,-1.0285824235496048,-0.9012826747990536,1226,1463
nfl,home_margin,2019,2.358401286413489,1.151780998743616,1.7063810689333614,1.1412428667609011,0.6520202174801277,0.5713246815997237,1228,1463
nfl,home_margin,2021,1.799653329899583,1.1530286776062264,1.7063810689333614,1.1412428667609011,0.09327226096622154,0.08172866940316463,1209,1463
nfl,home_margin,2022,1.7375191573919513,1.1739970815076253,1.7063810689333614,1.1412428667609011,0.031138088458589896,0.027284366339100682,1214,1463
nfl,home_margin,2023,1.6191020918575236,1.1540778433942622,1.7063810689333614,1.1412428667609011,-0.08727897707583776,-0.07647712824138365,1212,1463
nfl,home_win,2018,0.010425078170521417,0.04171531075951451,0.04643793213055885,0.03636579533557371,-0.036012853960037436,-0.990294688393876,1223,1459
nfl,home_win,2019,0.06676407180747407,0.035124908625245886,0.04643793213055885,0.03636579533557371,0.02032613967691522,0.5589356561392679,1224,1459
nfl,home_win,2021,0.058788156999311426,0.03763437404122754,0.04643793213055885,0.03636579533557371,0.012350224868752577,0.33961102059746107,1206,1459
nfl,home_win,2022,0.043314308833305344,0.03577098103000963,0.04643793213055885,0.03636579533557371,-0.0031236232972535055,-0.08589454096712462,1211,1459
nfl,home_win,2023,0.038764136279956625,0.03814733206510652,0.04643793213055885,0.03636579533557371,-0.007673795850602225,-0.21101685745603843,1208,1459
mlb,home_margin,2018,-0.19003443697474495,0.17949096783192092,-0.14016479533780624,0.16246744683192407,-0.049869641636938716,-0.3069515931307143,10476,12893
mlb,home_margin,2019,-0.12319193117037595,0.1746920259174417,-0.14016479533780624,0.16246744683192407,0.016972864167430282,0.10446932292220398,10514,12893
mlb,home_margin,2022,-0.1823192137631189,0.17783890631014354,-0.14016479533780624,0.16246744683192407,-0.04215441842531267,-0.2594637833443785,10479,12893
mlb,home_margin,2023,-0.07362427484757574,0.1673342160213124,-0.14016479533780624,0.16246744683192407,0.0665405204902305,0.409562172532126,10477,12893
mlb,home_win,2018,-0.020407232784634598,0.018967692081819542,-0.018972636117505617,0.016005425832970276,-0.0014345966671289803,-0.08963189621445697,10476,12893
mlb,home_win,2019,-0.018755531882332928,0.017948357995122767,-0.018972636117505617,0.016005425832970276,0.00021710423517268956,0.013564414807725206,10514,12893
mlb,home_win,2022,-0.023528133246515367,0.016335394123166157,-0.018972636117505617,0.016005425832970276,-0.004555497129009749,-0.2846220510813078,10479,12893
mlb,home_win,2023,-0.01042100757877922,0.0167728166067601,-0.018972636117505617,0.016005425832970276,0.008551628538726397,0.534295596254023,10477,12893
nba,home_margin,2018,1.1930201407046417,0.8909762143507417,1.0559732607660643,0.893099005265591,0.13704687993857734,0.15345093783619448,5619,6830
nba,home_margin,2019,1.027523515176012,0.8975243272234285,1.0559732607660643,0.893099005265591,-0.02844974559005231,-0.03185508596730761,5619,6830
nba,home_margin,2020,0.998803956345954,0.907463246013949,1.0559732607660643,0.893099005265591,-0.05716930442011037,-0.06401228092635629,5878,6830
nba,home_margin,2022,1.449272083512434,0.9407008958420515,1.0559732607660643,0.893099005265591,0.3932988227463696,0.44037538999319553,5616,6830
nba,home_margin,2023,0.7294043034984197,0.9055881326915376,1.0559732607660643,0.893099005265591,-0.3265689572676447,-0.36565818049537424,5617,6830
nba,home_win,2018,0.018649876103118343,0.025613482550619803,0.015389397307571433,0.02563083163721554,0.0032604787955469103,0.12720924711677126,5619,6830
nba,home_win,2019,0.014204204066218099,0.025826199121507156,0.015389397307571433,0.02563083163721554,-0.0011851932413533342,-0.04624092023734624,5619,6830
nba,home_win,2020,0.015857053262339965,0.026273268326840602,0.015389397307571433,0.02563083163721554,0.00046765595476853244,0.018245836162783878,5878,6830
nba,home_win,2022,0.025545086444908337,0.026467884928717454,0.015389397307571433,0.02563083163721554,0.010155689137336905,0.3962294037541495,5616,6830
nba,home_win,2023,-0.0018302729700969977,0.026187384640593673,0.015389397307571433,0.02563083163721554,-0.01721967027766843,-0.6718342393801127,5617,6830
nhl,home_margin,2018,-0.015222832170560556,0.12012827262095245,0.007650359395338668,0.11545208197072353,-0.022873191565899224,-0.19811848496330656,5701,6949
nhl,home_margin,2019,0.004781288598784572,0.11804411661101301,0.007650359395338668,0.11545208197072353,-0.0028690707965540957,-0.024850749744657164,5719,6949
nhl,home_margin,2020,0.02690520272668568,0.11213516084115163,0.007650359395338668,0.11545208197072353,0.019254843331347013,0.1667777921599515,5901,6949
nhl,home_margin,2022,-0.037235557155056345,0.11562394870413781,0.007650359395338668,0.11545208197072353,-0.04488591655039501,-0.3887839507457062,5663,6949
nhl,home_margin,2023,0.02981805954692967,0.129330749879619,0.007650359395338668,0.11545208197072353,0.022167700151591002,0.19200779902100262,5661,6949
nhl,home_win,2018,-0.0009247598439373611,0.02434284485846985,0.006571377919684019,0.022650202818754833,-0.00749613776362138,-0.33095234614916663,5701,6949
nhl,home_win,2019,0.007916139038267553,0.02257665005430166,0.006571377919684019,0.022650202818754833,0.0013447611185835344,0.05937082017958994,5719,6949
nhl,home_win,2020,0.009988675740800684,0.021531659305805476,0.006571377919684019,0.022650202818754833,0.003417297821116665,0.15087272500213872,5901,6949
nhl,home_win,2022,0.0009490446364909086,0.023329486940079473,0.006571377919684019,0.022650202818754833,-0.00562233328319311,-0.24822441230140785,5663,6949
nhl,home_win,2023,0.0056486483993050925,0.025062700963749757,0.006571377919684019,0.022650202818754833,-0.0009227295203789263,-0.04073824538184211,5661,6949
