sport,outcome,trend,coef,se,ci_low,ci_high,pvalue,n_obs
nfl,home_margin,none,1.9261095617145592,1.1171149583919207,-0.2652554898043977,4.117474613233516,0.08489170440000748,1463
nfl,home_margin,linear,1.7063810689333614,1.1412428667609011,-0.532315320876718,3.945077458743441,0.1350848694325988,1463
nfl,home_margin,quadratic,0.6860639555557527,1.303787596013117,-1.8714865989255514,3.2436145100370566,0.5988253761352618,1463
nfl,home_win,none,0.04476087229287977,0.036040782405624125,-0.025937939071191976,0.11545968365695151,0.21445957317330633,1459
nfl,home_win,linear,0.04643793213055885,0.03636579533557371,-0.024898478297241365,0.11777434255835906,0.2018224062295959,1459
nfl,home_win,quadratic,0.0007921790985604094,0.04353938795743164,-0.08461625168213693,0.08620060987925776,0.9854862150797998,1459
mlb,home_margin,none,-0.14346471287880716,0.1617337578830436,-0.46048689335815063,0.17355746760053634,0.37507262247426243,12893
mlb,home_margin,linear,-0.14016479533780624,0.16246744683192407,-0.45862511743019396,0.1782955267545815,0.3883045464599244,12893
mlb,home_margin,quadratic,-0.12875488324105513,0.17062771767332222,-0.4632105504260329,0.20570078394392258,0.45050563238564645,12893
mlb,home_win,none,-0.019118038344419698,0.0158909234294056,-0.050266607828988744,0.012030531140149348,0.22896784995815556,12893
mlb,home_win,linear,-0.018972636117505617,0.016005425832970276,-0.05034564754462914,0.012400375309617906,0.23588606963745362,12893
mlb,home_win,quadratic,-0.010693136073257656,0.017254362537411805,-0.04451424915495612,0.02312797700844081,0.5354431097808483,12893
nba,home_margin,none,1.0771395728059276,0.8901549747160604,-0.6678428979882001,2.8221220436000554,0.22629854148339956,6830
nba,home_margin,linear,1.0559732607660643,0.893099005265591,-0.6947804776193616,2.8067269991514903,0.23710038650228582,6830
nba,home_margin,quadratic,0.9545778386505496,0.903308874614819,-0.8161904874754436,2.7253461647765427,0.29066014681879104,6830
nba,home_win,none,0.017890445716119176,0.02643689408604904,-0.033934144465058616,0.06971503589729697,0.4986049578748537,6830
nba,home_win,linear,0.015389397307571433,0.02563083163721554,-0.034855059401276964,0.06563385401641983,0.5482429192324403,6830
nba,home_win,quadratic,0.0007612041236072885,0.02644550731305904,-0.05108027339787353,0.0526026816450881,0.9770378084683387,6830
nhl,home_margin,none,0.029574496584797494,0.11837676447216532,-0.20248032765520302,0.261629320824798,0.8027234358138975,6949
nhl,home_margin,linear,0.007650359395338668,0.11545208197072353,-0.2186711944000518,0.23397191319072916,0.9471692664882987,6949
nhl,home_margin,quadratic,0.03160846100557081,0.12986543095180736,-0.22296769180574744,0.28618461381688903,0.8077074492566769,6949
nhl,home_win,none,0.011836309457893044,0.02283394604357652,-0.032925239478458636,0.05659785839424473,0.6042204942654945,6949
nhl,home_win,linear,0.006571377919684019,0.022650202818754833,-0.037829978974176434,0.050972734813544474,0.7717297249117245,6949
nhl,home_win,quadratic,0.0025272191577645426,0.026396036203626266,-0.04921712340466183,0.05427156172019092,0.923727962180948,6949
