sport,outcome,trend,coef,se,ci_low,ci_high,pvalue,n_obs
nfl,home_margin,none,1.929560372127669,1.1211207568720034,-0.26966388070293323,4.128784624958271,0.08544982625912367,1462
nfl,home_margin,linear,1.7053758626279605,1.1469176462774329,-0.5444536887123406,3.9552054139682618,0.1372570683684622,1462
nfl,home_margin,quadratic,0.6676266217470853,1.3186073425915412,-1.9189963577433589,3.2542496012375293,0.6127161245479602,1462
nfl,home_win,none,0.042629132332515536,0.03665754781970823,-0.02927958992730973,0.11453785459234081,0.24506455252798887,1458
nfl,home_win,linear,0.04406517139648668,0.03697029211835191,-0.028457084507054586,0.11658742730002794,0.23349664213136956,1458
nfl,home_win,quadratic,-0.00370829043340968,0.04499374673500207,-0.09196969680809255,0.08455311594127318,0.9343260205145589,1458
mlb,home_margin,none,-0.1836157511728607,0.1594059196164529,-0.4960753117278245,0.12884380938210307,0.24939391958014112,12768
mlb,home_margin,linear,-0.1797697457014873,0.16040963934451247,-0.4941967501260897,0.13465725872311513,0.2624402679011766,12768
mlb,home_margin,quadratic,-0.17226672338636506,0.17077607235820624,-0.507013497204627,0.16248005043189678,0.31312393923313087,12768
mlb,home_win,none,-0.02091430422104343,0.015449600946941807,-0.05119784409362879,0.009369235651541932,0.17585242744990692,12768
mlb,home_win,linear,-0.020783280734608025,0.01557039355193096,-0.05130359249549397,0.009737031026277918,0.18196737350552117,12768
mlb,home_win,quadratic,-0.011671084066964906,0.017541047682548987,-0.046054174391289344,0.022712006257359536,0.5058333147717202,12768
nba,home_margin,none,1.0944199239194672,0.8906263255810947,-0.6514869086845847,2.840326756523519,0.21918169615274485,6822
nba,home_margin,linear,1.0732384685631247,0.894718613129761,-0.6806905767621816,2.8271675138884307,0.23036525481989778,6822
nba,home_margin,quadratic,0.978482565375272,0.9111987468575173,-0.8077527568051905,2.7647178875557348,0.28293213664973926,6822
nba,home_win,none,0.018174579999019964,0.02646153995796245,-0.03369833469804864,0.07004749469608858,0.49221331257651424,6822
nba,home_win,linear,0.015725654025459463,0.025675224780530585,-0.03460583771617662,0.06605714576709554,0.5402383670685831,6822
nba,home_win,quadratic,0.001079534013995541,0.026616639950964253,-0.051097428039713594,0.053256496067704676,0.9676489717419541,6822
nhl,home_margin,none,0.024347433798881334,0.12367808288857474,-0.2180996461601321,0.26679451375789476,0.8439418365616129,6942
nhl,home_margin,linear,0.0030142396122629853,0.12033508860055464,-0.23287954938461936,0.23890802860914534,0.9800168288385225,6942
nhl,home_margin,quadratic,0.025632933222906138,0.13595898393318126,-0.24088850333869063,0.29215436978450293,0.8504633635571188,6942
nhl,home_win,none,0.01187707250248261,0.023700861414803074,-0.03458390512852727,0.0583380501334925,0.6162997689129459,6942
nhl,home_win,linear,0.006691866039370741,0.023440017488728628,-0.039257778439836445,0.052641510518577926,0.7752781300505678,6942
nhl,home_win,quadratic,0.002667846280598117,0.027331848874773364,-0.05091098621177421,0.05624667877297044,0.9222452669937942,6942
