sport,outcome,dropped_season,coef,se,coef_base,se_base,delta,delta_over_se_base,n_obs,n_obs_base
nfl,home_margin,2018,0.6777986453837563,1.2348740827394857,1.7063810689333618,1.1412428667609011,-1.0285824235496055,-0.9012826747990541,1226,1463
nfl,home_margin,2019,2.3584012864134896,1.1517809987436158,1.7063810689333618,1.1412428667609011,0.6520202174801277,0.5713246815997237,1228,1463
nfl,home_margin,2021,1.799653329899583,1.1530286776062262,1.7063810689333618,1.1412428667609011,0.0932722609662211,0.08172866940316423,1209,1463
nfl,home_margin,2022,1.7375191573919513,1.173997081507625,1.7063810689333618,1.1412428667609011,0.031138088458589452,0.027284366339100294,1214,1463
nfl,home_margin,2023,1.6191020918575243,1.1540778433942622,1.7063810689333618,1.1412428667609011,-0.08727897707583754,-0.07647712824138346,1212,1463
nfl,home_win,2018,0.01042507817052141,0.041715310759514505,0.046437932130558864,0.03636579533557371,-0.03601285396003745,-0.9902946883938765,1223,1459
nfl,home_win,2019,0.0667640718074741,0.035124908625245886,0.046437932130558864,0.03636579533557371,0.020326139676915232,0.5589356561392683,1224,1459
nfl,home_win,2021,0.05878815699931143,0.037634374041227533,0.046437932130558864,0.03636579533557371,0.01235022486875257,0.3396110205974609,1206,1459
nfl,home_win,2022,0.04331430883330537,0.035770981030009634,0.046437932130558864,0.03636579533557371,-0.0031236232972534916,-0.08589454096712425,1211,1459
nfl,home_win,2023,0.03876413627995662,0.03814733206510653,0.046437932130558864,0.03636579533557371,-0.0076737958506022455,-0.21101685745603901,1208,1459
mlb,home_margin,2018,-0.19491840714510014,0.17730168560124077,-0.1447685700775839,0.1606884828062995,-0.050149837067516245,-0.312093537705306,10456,12871
mlb,home_margin,2019,-0.1287856145530684,0.17215429578737468,-0.1447685700775839,0.1606884828062995,0.015982955524515507,0.09946547036468083,10496,12871
mlb,home_margin,2022,-0.1821558436403154,0.17615081319344325,-0.1447685700775839,0.1606884828062995,-0.0373872735627315,-0.23266927977532564,10458,12871
mlb,home_margin,2023,-0.0799080251840378,0.1671885452179854,-0.1447685700775839,0.1606884828062995,0.06486054489354609,0.4036415290057325,10461,12871
mlb,home_win,2018,-0.020496820410479618,0.018784940737207264,-0.018934705008092165,0.015775398016678387,-0.0015621154023874526,-0.099022249754708,10456,12871
mlb,home_win,2019,-0.018999859105695217,0.017796873834993687,-0.018934705008092165,0.015775398016678387,-6.515409760305194e-05,-0.004130108003244571,10496,12871
mlb,home_win,2022,-0.023142818697504484,0.016114491604124863,-0.018934705008092165,0.015775398016678387,-0.004208113689412318,-0.26675166515376225,10458,12871
mlb,home_win,2023,-0.010419390353356478,0.016515728563796923,-0.018934705008092165,0.015775398016678387,0.008515314654735687,0.53978445714859,10461,12871
nba,home_margin,2018,1.1930201407046417,0.8909762143507416,1.055973260766064,0.893099005265591,0.13704687993857778,0.15345093783619498,5619,6830
