sport,outcome,trend,coef,se,ci_low,ci_high,pvalue,n_obs
nfl,home_margin,none,2.1528824379908085,1.1363731662657226,-0.07626941308273372,4.38203428906435,0.05835908866365225,1456
nfl,home_margin,linear,1.9282567327829174,1.1645506812340678,-0.35617055452240076,4.212684020088235,0.09798468244609748,1456
nfl,home_margin,quadratic,0.8951922278592802,1.3530508010627762,-1.759005725330626,3.549390181049186,0.5083286286405382,1456
nfl,home_win,none,0.048618847878458986,0.03752694358146615,-0.02499557747623183,0.12223327323314981,0.19533437493118355,1452
nfl,home_win,linear,0.05006209168387405,0.03780863796130775,-0.024104962076161203,0.12422914544390931,0.18568669221809708,1452
nfl,home_win,quadratic,0.002345043817775915,0.045872483608422374,-0.08764045166944867,0.09233053930500051,0.9592363870782254,1452
mlb,home_margin,none,-0.1836157511728607,0.1594059196164529,-0.4960753117278245,0.12884380938210307,0.24939391958014112,12768
mlb,home_margin,linear,-0.1797697457014873,0.16040963934451247,-0.4941967501260897,0.13465725872311513,0.2624402679011766,12768
mlb,home_margin,quadratic,-0.17226672338636506,0.17077607235820624,-0.507013497204627,0.16248005043189678,0.31312393923313087,12768
mlb,home_win,none,-0.02091430422104343,0.015449600946941807,-0.05119784409362879,0.009369235651541932,0.17585242744990692,12768
mlb,home_win,linear,-0.020783280734608025,0.01557039355193096,-0.05130359249549397,0.009737031026277918,0.18196737350552117,12768
mlb,home_win,quadratic,-0.011671084066964906,0.017541047682548987,-0.046054174391289344,0.022712006257359536,0.5058333147717202,12768
nba,home_margin,none,0.9285778757341848,0.9565148458934079,-0.9464949512577016,2.8036507027260713,0.33168637717358984,6745
nba,home_margin,linear,0.9068561398781771,0.9636767391057645,-0.9822563227629346,2.795968602519289,0.3467194169775376,6745
nba,home_margin,quadratic,0.8113510998167114,0.9687760733371115,-1.0877577284843438,2.7104599281177664,0.40234074945501463,6745
nba,home_win,none,0.00889141209257471,0.027465054034670713,-0.044948814991588995,0.06273163917673842,0.7461484048221001,6745
nba,home_win,linear,0.006394053097087203,0.026775172040502268,-0.04609378762635827,0.058881893820532674,0.8112638500938836,6745
nba,home_win,quadratic,-0.00845364049413247,0.027368092399946677,-0.0621037948703251,0.04519651388206016,0.7574172846889093,6745
nhl,home_margin,none,0.061284530355701514,0.1335809568674103,-0.2005758207143999,0.32314488142580294,0.6464053902800313,6854
nhl,home_margin,linear,0.03937298599981288,0.1307538601911813,-0.21694538024166576,0.2956913522412915,0.7633299373565763,6854
nhl,home_margin,quadratic,0.061930558242045686,0.14417191863115225,-0.22069139685883615,0.3445525133429275,0.6675289699904394,6854
nhl,home_win,none,0.016039583611163817,0.02527146217339879,-0.033500366633012695,0.06557953385534032,0.5256508993019535,6854
nhl,home_win,linear,0.010685013777513777,0.02528461954214839,-0.03888073030533621,0.06025075786036376,0.6726081446195638,6854
nhl,home_win,quadratic,0.006600470812188731,0.028799208177458294,-0.049854965154464574,0.06305590677884204,0.8187286529447237,6854
